city,census2010
"New York City city, New York","8,175,133"
"Los Angeles city, California","3,792,621"
"Chicago city, Illinois","2,695,598"
"Houston city, Texas","2,099,451"
"Phoenix city, Arizona","1,445,632"
"Philadelphia city, Pennsylvania","1,526,006"
"San Antonio city, Texas","1,327,407"
"San Diego city, California","1,307,402"
"Dallas city, Texas","1,197,816"
"San Jose city, California","945,942"
"Austin city, Texas","790,390"
"Jacksonville city, Florida","821,784"
"Fort Worth city, Texas","741,206"
"Columbus city, Ohio","787,033"
"Charlotte city, North Carolina","731,424"
"San Francisco city, California","805,235"
"Indianapolis city (balance), Indiana","820,445"
"Seattle city, Washington","608,660"
"Denver city, Colorado","600,158"
"Washington city, District of Columbia","601,723"
"Boston city, Massachusetts","617,594"
"El Paso city, Texas","649,121"
"Nashville-Davidson metropolitan government (balance), Tennessee","601,222"
"Detroit city, Michigan","713,777"
"Oklahoma City city, Oklahoma","579,999"
"Portland city, Oregon","583,776"
"Las Vegas city, Nevada","583,756"
"Memphis city, Tennessee","646,889"
"Louisville/Jefferson County metro government (balance), Kentucky","597,337"
"Baltimore city, Maryland","620,961"
"Milwaukee city, Wisconsin","594,833"
"Albuquerque city, New Mexico","545,852"
"Tucson city, Arizona","520,116"
"Fresno city, California","494,665"
"Mesa city, Arizona","439,041"
"Sacramento city, California","466,488"
"Atlanta city, Georgia","420,003"
"Kansas City city, Missouri","459,787"
"Colorado Springs city, Colorado","416,427"
"Omaha city, Nebraska","408,958"
"Raleigh city, North Carolina","403,892"
"Miami city, Florida","399,457"
"Long Beach city, California","462,257"
"Virginia Beach city, Virginia","437,994"
"Oakland city, California","390,724"
"Minneapolis city, Minnesota","382,578"
"Tulsa city, Oklahoma","391,906"
"Tampa city, Florida","335,709"
"Arlington city, Texas","365,438"
"New Orleans city, Louisiana","343,829"
"Wichita city, Kansas","382,368"
"Bakersfield city, California","347,483"
"Cleveland city, Ohio","396,815"
"Aurora city, Colorado","325,078"
"Anaheim city, California","336,265"
"Urban Honolulu CDP, Hawaii","337,256"
"Santa Ana city, California","324,528"
"Riverside city, California","303,871"
"Corpus Christi city, Texas","305,215"
"Lexington-Fayette urban county, Kentucky","295,803"
"Henderson city, Nevada","257,729"
"Stockton city, California","291,707"
"St. Paul city, Minnesota","285,068"
"Cincinnati city, Ohio","296,943"
"St. Louis city, Missouri","319,294"
"Pittsburgh city, Pennsylvania","305,704"
"Greensboro city, North Carolina","269,666"
"Lincoln city, Nebraska","258,379"
"Anchorage municipality, Alaska","291,826"
"Plano city, Texas","259,841"
"Orlando city, Florida","238,300"
"Irvine city, California","212,375"
"Newark city, New Jersey","277,140"
"Durham city, North Carolina","228,330"
"Chula Vista city, California","243,916"
"Toledo city, Ohio","287,208"
"Fort Wayne city, Indiana","253,691"
"St. Petersburg city, Florida","244,769"
"Laredo city, Texas","236,091"
"Jersey City city, New Jersey","247,597"
"Chandler city, Arizona","236,123"
"Madison city, Wisconsin","233,209"
"Lubbock city, Texas","229,573"
"Scottsdale city, Arizona","217,385"
"Reno city, Nevada","225,221"
"Buffalo city, New York","261,310"
"Gilbert town, Arizona","208,453"
"Glendale city, Arizona","226,721"
"North Las Vegas city, Nevada","216,961"
"Winston-Salem city, North Carolina","229,617"
"Chesapeake city, Virginia","222,209"
"Norfolk city, Virginia","242,803"
"Fremont city, California","214,089"
"Garland city, Texas","226,876"
"Irving city, Texas","216,290"
"Hialeah city, Florida","224,669"
"Richmond city, Virginia","204,214"
"Boise City city, Idaho","205,671"
"Spokane city, Washington","208,916"
"Baton Rouge city, Louisiana","229,493"
"Tacoma city, Washington","198,397"
"San Bernardino city, California","209,924"
"Modesto city, California","201,165"
"Fontana city, California","196,069"
"Des Moines city, Iowa","203,433"
"Moreno Valley city, California","193,365"
"Santa Clarita city, California","176,320"
"Fayetteville city, North Carolina","200,564"
"Birmingham city, Alabama","212,237"
"Oxnard city, California","197,899"
"Rochester city, New York","210,565"
"Port St. Lucie city, Florida","164,603"
"Grand Rapids city, Michigan","188,040"
"Huntsville city, Alabama","180,105"
"Salt Lake City city, Utah","186,440"
"Frisco city, Texas","116,989"
"Yonkers city, New York","195,976"
"Amarillo city, Texas","190,695"
"Glendale city, California","191,719"
"Huntington Beach city, California","189,992"
"McKinney city, Texas","131,117"
"Montgomery city, Alabama","205,764"
"Augusta-Richmond County consolidated government (balance), Georgia","195,844"
"Aurora city, Illinois","197,899"
"Akron city, Ohio","199,110"
"Little Rock city, Arkansas","193,524"
"Tempe city, Arizona","161,719"
"Columbus city, Georgia","189,885"
"Overland Park city, Kansas","173,372"
"Grand Prairie city, Texas","175,396"
"Tallahassee city, Florida","181,376"
"Cape Coral city, Florida","154,305"
"Mobile city, Alabama","195,111"
"Knoxville city, Tennessee","178,874"
"Shreveport city, Louisiana","199,311"
"Worcester city, Massachusetts","181,045"
"Ontario city, California","163,924"
"Vancouver city, Washington","161,791"
"Sioux Falls city, South Dakota","153,888"
"Chattanooga city, Tennessee","167,674"
"Brownsville city, Texas","175,023"
"Fort Lauderdale city, Florida","165,521"
"Providence city, Rhode Island","178,042"
"Newport News city, Virginia","180,719"
"Rancho Cucamonga city, California","165,269"
"Santa Rosa city, California","167,815"
"Peoria city, Arizona","154,065"
"Oceanside city, California","167,086"
"Elk Grove city, California","153,015"
"Salem city, Oregon","154,637"
"Pembroke Pines city, Florida","154,750"
"Eugene city, Oregon","156,185"
"Garden Grove city, California","170,883"
"Cary town, North Carolina","135,234"
"Fort Collins city, Colorado","143,986"
"Corona city, California","152,374"
"Springfield city, Missouri","159,498"
"Jackson city, Mississippi","173,514"
"Alexandria city, Virginia","139,966"
"Hayward city, California","144,186"
"Clarksville city, Tennessee","132,929"
"Lakewood city, Colorado","142,980"
"Lancaster city, California","156,633"
"Salinas city, California","150,441"
"Palmdale city, California","152,750"
"Hollywood city, Florida","140,768"
"Springfield city, Massachusetts","153,060"
"Macon-Bibb County, Georgia",(X)
"Kansas City city, Kansas","145,786"
"Sunnyvale city, California","140,081"
"Pomona city, California","149,058"
"Killeen city, Texas","127,921"
"Escondido city, California","143,911"
"Pasadena city, Texas","149,043"
"Naperville city, Illinois","141,853"
"Bellevue city, Washington","122,363"
"Joliet city, Illinois","147,433"
"Murfreesboro city, Tennessee","108,755"
"Midland city, Texas","111,147"
"Rockford city, Illinois","152,871"
"Paterson city, New Jersey","146,199"
"Savannah city, Georgia","136,286"
"Bridgeport city, Connecticut","144,229"
"Torrance city, California","145,438"
"McAllen city, Texas","129,877"
"Syracuse city, New York","145,170"
"Surprise city, Arizona","117,517"
"Denton city, Texas","113,383"
"Roseville city, California","118,788"
"Thornton city, Colorado","118,772"
"Miramar city, Florida","122,041"
"Pasadena city, California","137,122"
"Mesquite city, Texas","139,824"
"Olathe city, Kansas","125,872"
"Dayton city, Ohio","141,527"
"Carrollton city, Texas","119,097"
"Waco city, Texas","124,805"
"Orange city, California","136,416"
"Fullerton city, California","135,161"
"Charleston city, South Carolina","120,083"
"West Valley City city, Utah","129,480"
"Visalia city, California","124,442"
"Hampton city, Virginia","137,436"
"Gainesville city, Florida","124,354"
"Warren city, Michigan","134,056"
"Coral Springs city, Florida","121,096"
"Cedar Rapids city, Iowa","126,326"
"Round Rock city, Texas","99,887"
"Sterling Heights city, Michigan","129,699"
"Kent city, Washington","92,411"
"Columbia city, South Carolina","129,272"
"Santa Clara city, California","116,468"
"New Haven city, Connecticut","129,779"
"Stamford city, Connecticut","122,643"
"Concord city, California","122,067"
"Elizabeth city, New Jersey","124,969"
"Athens-Clarke County unified government (balance), Georgia","115,452"
"Thousand Oaks city, California","126,683"
"Lafayette city, Louisiana","120,623"
"Simi Valley city, California","124,237"
"Topeka city, Kansas","127,473"
"Norman city, Oklahoma","110,925"
"Fargo city, North Dakota","105,549"
"Wilmington city, North Carolina","106,476"
"Abilene city, Texas","117,063"
"Odessa city, Texas","99,940"
"Columbia city, Missouri","108,500"
"Pearland city, Texas","91,252"
"Victorville city, California","115,903"
"Hartford city, Connecticut","124,775"
"Vallejo city, California","115,942"
"Allentown city, Pennsylvania","118,032"
"Berkeley city, California","112,580"
"Richardson city, Texas","99,223"
"Arvada city, Colorado","106,433"
"Ann Arbor city, Michigan","113,934"
"Rochester city, Minnesota","106,769"
"Cambridge city, Massachusetts","105,162"
"Sugar Land city, Texas","78,817"
"Lansing city, Michigan","114,297"
"Evansville city, Indiana","117,429"
"College Station city, Texas","93,857"
"Fairfield city, California","105,321"
"Clearwater city, Florida","107,685"
"Beaumont city, Texas","118,296"
"Independence city, Missouri","116,830"
"Provo city, Utah","112,488"
"West Jordan city, Utah","103,712"
"Murrieta city, California","103,466"
"Palm Bay city, Florida","103,190"
"El Monte city, California","113,475"
"Carlsbad city, California","105,328"
"North Charleston city, South Carolina","97,471"
"Temecula city, California","100,097"
"Clovis city, California","95,631"
"Springfield city, Illinois","116,250"
"Meridian city, Idaho","75,092"
"Westminster city, Colorado","106,114"
"Costa Mesa city, California","109,960"
"High Point city, North Carolina","104,371"
"Manchester city, New Hampshire","109,565"
"Pueblo city, Colorado","106,595"
"Lakeland city, Florida","97,422"
"Pompano Beach city, Florida","99,845"
"West Palm Beach city, Florida","99,919"
"Antioch city, California","102,372"
"Everett city, Washington","103,019"
"Downey city, California","111,772"
"Lowell city, Massachusetts","106,519"
"Centennial city, Colorado","100,377"
"Elgin city, Illinois","108,188"
"Richmond city, California","103,701"
"Peoria city, Illinois","115,007"
"Broken Arrow city, Oklahoma","98,850"
"Miami Gardens city, Florida","107,167"
"Billings city, Montana","104,170"
"Jurupa Valley city, California",(X)
