name,department,dept_name,state,EOW,cause,location,year
Patrol Officer Randall A. Blank,"Rockford Police Department, IL",Rockford Police Department,IL,1980-12-31,Cause of Death: Gunfire,NA,1980
Corporal Robert Glen Owen,"Erie Police Department, PA",Erie Police Department,PA,1980-12-29,Cause of Death: Gunfire,NA,1980
Police Officer Richard N. Callwood,"Virgin Islands Police Department, VI",Virgin Islands Police Department,VI,1980-12-29,Cause of Death: Gunfire,NA,1980
Officer James E. Jobe,"Des Plaines Police Department, IL",Des Plaines Police Department,IL,1980-12-26,Cause of Death: Automobile crash,NA,1980
Trooper Hollis Stephen Lacy,"Texas Department of Public Safety - Texas Highway Patrol, TX",Texas Department of Public Safety - Texas Highway Patrol,TX,1980-12-26,Cause of Death: Vehicle pursuit,NA,1980
"Police Officer Edward K. Alley, Jr.","Birmingham Police Department, AL",Birmingham Police Department,AL,1980-12-25,Cause of Death: Gunfire,NA,1980
Officer Gerald Eldin Dormaier,"California Highway Patrol, CA",California Highway Patrol,CA,1980-12-25,Cause of Death: Struck by vehicle,NA,1980
"Officer Sam Edward Etheredge, Jr.","Daytona Beach Police Department, FL",Daytona Beach Police Department,FL,1980-12-25,Cause of Death: Gunfire,NA,1980
"Sheriff William M. ""Billy"" Phillips","Pottawatomie County Sheriff's Office, OK",Pottawatomie County Sheriff's Office,OK,1980-12-25,Cause of Death: Automobile crash,NA,1980
Patrolman Berry Joe McGuire,"Amarillo Police Department, TX",Amarillo Police Department,TX,1980-12-25,Cause of Death: Gunfire,NA,1980
Officer Dennis Frank Webb,"San Fernando Police Department, CA",San Fernando Police Department,CA,1980-12-24,Cause of Death: Gunfire,NA,1980
Officer John Wyndell Robinson,"Los Angeles County Safety Police, CA",Los Angeles County Safety Police,CA,1980-12-24,Cause of Death: Stabbed,NA,1980
"Corporal James Marion Tarver, Sr.","Spalding County Sheriff's Office, GA",Spalding County Sheriff's Office,GA,1980-12-24,Cause of Death: Struck by vehicle,NA,1980
Police Officer Gabriel P. Vitale,"New York City Police Department, NY",New York City Police Department,NY,1980-12-24,Cause of Death: Gunfire,NA,1980
Police Officer William J. Perry,"Port Authority of New York and New Jersey Police Department, NY",Port Authority of New York and New Jersey Police Department,NY,1980-12-22,Cause of Death: Gunfire,Location: New Jersey,1980
Customs Agent Denis Lee Van Patten,"United States Department of the Treasury - United States Customs Service, US",United States Department of the Treasury - United States Customs Service,US,1980-12-22,Cause of Death: Automobile crash,Location: Overseas,1980
Deputy Sheriff Roger Ervin Wrobbel,"Wright County Sheriff's Office, MN",Wright County Sheriff's Office,MN,1980-12-21,Cause of Death: Heart attack,NA,1980
Correctional Officer Raymond L. Chandler,"Oklahoma Department of Corrections, OK",Oklahoma Department of Corrections,OK,1980-12-18,Cause of Death: Assault,NA,1980
Constable Jerry L. McCrory,"Rankin County Sheriff's Department, MS",Rankin County Sheriff's Department,MS,1980-12-15,Cause of Death: Gunfire,NA,1980
Sergeant Don L. Byerley,"Tulsa Police Department, OK",Tulsa Police Department,OK,1980-12-15,Cause of Death: Vehicular assault,NA,1980
Police Officer David Leslie Hagins,"Fulton County Police Department, GA",Fulton County Police Department,GA,1980-12-14,Cause of Death: Gunfire,NA,1980
Policeman Luis A. Chaves-Canabal,"Puerto Rico Police Department, PR",Puerto Rico Police Department,PR,1980-12-13,Cause of Death: Gunfire,NA,1980
Detective Sergeant Jack R. Ohrberg,"Indianapolis Police Department, IN",Indianapolis Police Department,IN,1980-12-11,Cause of Death: Gunfire,NA,1980
Sergeant Walter F. Conley,"Milford Police Department, MA",Milford Police Department,MA,1980-12-10,Cause of Death: Gunfire,NA,1980
"Investigator Robert Van Hall, Jr.","New York State Police, NY",New York State Police,NY,1980-12-05,Cause of Death: Gunfire,NA,1980
Lieutenant Anthony P. Shepeard,"Lake Linden Police Department, MI",Lake Linden Police Department,MI,1980-12-04,Cause of Death: Accidental,NA,1980
Chief of Police Gregory Blaise Adams,"Saxonburg Borough Police Department, PA",Saxonburg Borough Police Department,PA,1980-12-04,Cause of Death: Gunfire,NA,1980
Patrolman Edward Sawicki,"Salem Police Department, MA",Salem Police Department,MA,1980-12-01,Cause of Death: Fall,NA,1980
Officer Edward J. Roth,"Sunnyvale Department of Public Safety, CA",Sunnyvale Department of Public Safety,CA,1980-11-29,Cause of Death: Fall,NA,1980
Trooper James Kevin Farris,"Colorado State Patrol, CO",Colorado State Patrol,CO,1980-11-29,Cause of Death: Vehicle pursuit,NA,1980
Patrolman Gerald T. DiJoseph,"Bridgeport Police Department, CT",Bridgeport Police Department,CT,1980-11-28,Cause of Death: Gunfire,NA,1980
Police Officer John F. Gottfried,"Newark Police Department, NJ",Newark Police Department,NJ,1980-11-28,Cause of Death: Gunfire,NA,1980
Wildlife Officer Lloyd O'Neil Mayse,"North Carolina Wildlife Resources Commission, NC",North Carolina Wildlife Resources Commission,NC,1980-11-27,Cause of Death: Gunfire,NA,1980
Police Officer Charles R. Rogers,"Los Angeles Police Department, CA",Los Angeles Police Department,CA,1980-11-26,Cause of Death: Heart attack,NA,1980
Police Officer James T. Dunston,"New York City Housing Authority Police Department, NY",New York City Housing Authority Police Department,NY,1980-11-20,Cause of Death: Gunfire,NA,1980
Officer William H. Murie,"Arizona Department of Public Safety, AZ",Arizona Department of Public Safety,AZ,1980-11-19,Cause of Death: Struck by vehicle,NA,1980
Deputy Sheriff Edward Adolph Martinez,"Denver Sheriff's Department, CO",Denver Sheriff's Department,CO,1980-11-15,Cause of Death: Heart attack,NA,1980
Security Policeman William C. Herrington,"United States Air Force Security Forces, US",United States Air Force Security Forces,US,1980-11-15,Cause of Death: Gunfire,Location: Overseas,1980
Patrolman Lawrence J. Pucalik,"Hammond Police Department, IN",Hammond Police Department,IN,1980-11-14,Cause of Death: Gunfire,NA,1980
Agent Angel Miranda-Oyola,"Puerto Rico Police Department, PR",Puerto Rico Police Department,PR,1980-11-12,Cause of Death: Gunfire,NA,1980
Agent Miguel Calderon-Cardona,"Puerto Rico Police Department, PR",Puerto Rico Police Department,PR,1980-11-12,Cause of Death: Gunfire,NA,1980
"Deputy Sheriff Jack William Hammack, Sr.","Terrell County Sheriff's Office, GA",Terrell County Sheriff's Office,GA,1980-11-11,Cause of Death: Stabbed,NA,1980
Police Officer Paul Garofalo,"Wichita Police Department, KS",Wichita Police Department,KS,1980-11-08,Cause of Death: Gunfire,NA,1980
Patrolman Gregory J. Neupert,"New Orleans Police Department, LA",New Orleans Police Department,LA,1980-11-08,Cause of Death: Gunfire,NA,1980
Special Investigator Thomas H. Neilan,"New York State Office of the Attorney General - Criminal Division, NY",New York State Office of the Attorney General - Criminal Division,NY,1980-11-08,Cause of Death: Gunfire,NA,1980
Officer Michael Lloyd Rainford,"Garden Grove Police Department, CA",Garden Grove Police Department,CA,1980-11-07,Cause of Death: Vehicular assault,NA,1980
Police Officer Carl Wallace Mertes,"North Miami Police Department, FL",North Miami Police Department,FL,1980-11-05,Cause of Death: Gunfire,NA,1980
Deputy Sheriff Michael Lynn Cheney,"Union County Sheriff's Department, OR",Union County Sheriff's Department,OR,1980-11-05,Cause of Death: Vehicular assault,NA,1980
Deputy Sheriff Raymond Williams,"Union County Sheriff's Department, OR",Union County Sheriff's Department,OR,1980-11-05,Cause of Death: Vehicular assault,NA,1980
Police Officer Michael Wayne Rivers,"Hedwig Village Police Department, TX",Hedwig Village Police Department,TX,1980-11-02,Cause of Death: Gunfire,NA,1980
Patrol Officer Harry Edward Kier,"Anchorage Police Department, AK",Anchorage Police Department,AK,1980-10-28,Cause of Death: Automobile crash,NA,1980
Officer James Anthony Smith,"Tucson Police Department, AZ",Tucson Police Department,AZ,1980-10-28,Cause of Death: Motorcycle crash,NA,1980
"Lieutenant James M. West, Sr.","Decatur County Sheriff's Office, GA",Decatur County Sheriff's Office,GA,1980-10-28,Cause of Death: Stabbed,NA,1980
Deputy Sheriff Bliss Steven Magly,"Sonoma County Sheriff's Office, CA",Sonoma County Sheriff's Office,CA,1980-10-23,Cause of Death: Aircraft accident,NA,1980
Deputy Sheriff Brent Charles Jameson,"Sonoma County Sheriff's Office, CA",Sonoma County Sheriff's Office,CA,1980-10-23,Cause of Death: Aircraft accident,NA,1980
Patrolman George August Moulat,"Reeds Spring Police Department, MO",Reeds Spring Police Department,MO,1980-10-16,Cause of Death: Gunfire,NA,1980
Deputy Sheriff Steven J. Johnson,"Juneau County Sheriff's Department, WI",Juneau County Sheriff's Department,WI,1980-10-14,Cause of Death: Struck by vehicle,NA,1980
Lieutenant Fred McLain,"Houston County Sheriff's Office, AL",Houston County Sheriff's Office,AL,1980-10-12,Cause of Death: Heart attack,NA,1980
Correctional Officer Richard James Burke,"Florida Department of Corrections, FL",Florida Department of Corrections,FL,1980-10-12,Cause of Death: Stabbed,NA,1980
Sergeant Alfred William Terrinoni,"Coral Gables Police Department, FL",Coral Gables Police Department,FL,1980-10-12,Cause of Death: Gunfire,NA,1980
Deputy Sheriff Ford T. Humphrey,"Stafford County Sheriff's Office, VA",Stafford County Sheriff's Office,VA,1980-10-09,Cause of Death: Gunfire,NA,1980
Officer John Arthur Adair,"Oxnard Police Department, CA",Oxnard Police Department,CA,1980-10-07,Cause of Death: Gunfire,NA,1980
Trooper Jerry Don Davis,"Texas Department of Public Safety - Texas Highway Patrol, TX",Texas Department of Public Safety - Texas Highway Patrol,TX,1980-10-05,Cause of Death: Gunfire,NA,1980
Deputy Sheriff Dirk Alan Leonardson,"Riverside County Sheriff's Department, CA",Riverside County Sheriff's Department,CA,1980-10-04,Cause of Death: Gunfire (Inadvertent),NA,1980
Sergeant Richard B. Siebenman,"St. Louis Metropolitan Police Department, MO",St. Louis Metropolitan Police Department,MO,1980-10-02,Cause of Death: Automobile crash,NA,1980
"Detective Victor R. Wells, III","Houston Police Department, TX",Houston Police Department,TX,1980-10-02,Cause of Death: Gunfire,NA,1980
Trooper Jerome Scott Clifton,"Kentucky State Police, KY",Kentucky State Police,KY,1980-10-01,Cause of Death: Gunfire,NA,1980
Deputy Sheriff Michael Danny Laws,"Chester County Sheriff's Department, SC",Chester County Sheriff's Department,SC,1980-10-01,Cause of Death: Motorcycle crash,NA,1980
Major Cephus D. Burson,"Texas Department of Criminal Justice - Correctional Institutions Division, TX",Texas Department of Criminal Justice - Correctional Institutions Division,TX,1980-10-01,Cause of Death: Heart attack,NA,1980
Police Officer Garrett T. Farrell,"Philadelphia Police Department, PA",Philadelphia Police Department,PA,1980-09-26,Cause of Death: Gunfire,NA,1980
