game_id,show_number,air_date,comments,contestant,final_score,winner,url,season
7072,165,1985-04-26T00:00:00Z,,Doug Miller,100,FALSE,https://j-archive.com/showgame.php?game_id=7072,1
7072,165,1985-04-26T00:00:00Z,,Joan Kantor,-5100,FALSE,https://j-archive.com/showgame.php?game_id=7072,1
7072,165,1985-04-26T00:00:00Z,,Mark Singer,4250,TRUE,https://j-archive.com/showgame.php?game_id=7072,1
7071,164,1985-04-25T00:00:00Z,,Doug Miller,10800,TRUE,https://j-archive.com/showgame.php?game_id=7071,1
7071,164,1985-04-25T00:00:00Z,,Bruce Schreibfeder,7000,FALSE,https://j-archive.com/showgame.php?game_id=7071,1
7071,164,1985-04-25T00:00:00Z,,Steven Herbert,7799,FALSE,https://j-archive.com/showgame.php?game_id=7071,1
7067,163,1985-04-24T00:00:00Z,,Doug Miller,2300,TRUE,https://j-archive.com/showgame.php?game_id=7067,1
7067,163,1985-04-24T00:00:00Z,,Albert Powell,100,FALSE,https://j-archive.com/showgame.php?game_id=7067,1
7067,163,1985-04-24T00:00:00Z,,Marcia Yaross,1401,FALSE,https://j-archive.com/showgame.php?game_id=7067,1
7061,162,1985-04-23T00:00:00Z,Missing introductions.,Bruce Rhodewalt,-800,FALSE,https://j-archive.com/showgame.php?game_id=7061,1
7061,162,1985-04-23T00:00:00Z,Missing introductions.,Dorian Ellis,1,FALSE,https://j-archive.com/showgame.php?game_id=7061,1
7061,162,1985-04-23T00:00:00Z,Missing introductions.,Doug Miller,2900,TRUE,https://j-archive.com/showgame.php?game_id=7061,1
5525,160,1985-04-19T00:00:00Z,,Matt Hubbard,0,FALSE,https://j-archive.com/showgame.php?game_id=5525,1
5525,160,1985-04-19T00:00:00Z,,Bruce Rhodewalt,8450,TRUE,https://j-archive.com/showgame.php?game_id=5525,1
5525,160,1985-04-19T00:00:00Z,,Rick Sinclair,3700,FALSE,https://j-archive.com/showgame.php?game_id=5525,1
6936,158,1985-04-17T00:00:00Z,,Matt Hubbard,7600,TRUE,https://j-archive.com/showgame.php?game_id=6936,1
6936,158,1985-04-17T00:00:00Z,,John Pendleton,3500,FALSE,https://j-archive.com/showgame.php?game_id=6936,1
6936,158,1985-04-17T00:00:00Z,,Marcia Friedman,-3300,FALSE,https://j-archive.com/showgame.php?game_id=6936,1
4529,153,1985-04-10T00:00:00Z,Mike Day game 2.,Mike Day,4900,TRUE,https://j-archive.com/showgame.php?game_id=4529,1
