year,start-date,end-date
2022,3/12/22,3/20/22
2022,12/18/21,1/2/22
2022,11/21/21,11/29/21
2021,3/13/21,3/21/21
2021,12/19/20,1/3/21
2021,11/21/20,11/29/20
2020,3/14/20,3/22/20
2020,12/21/19,1/5/20
2020,11/23/19,12/1/19
2019,12/22/18,1/6/19
2019,3/16/19,3/24/19
2019,11/17/18,11/26/18
2018,12/23/17,1/7/18
2018,3/17/18,3/25/18
2018,11/18/17,11/26/17
2017,3/18/17,3/26/17
2017,12/17/16,1/4/17
2017,11/21/16,11/27/16
2016,3/19/16,3/27/16
2016,12/19/15,1/3/16
2016,11/21/15,11/29/15
2015,3/21/15,3/29/15
2015,12/20/14,1/4/15
2015,11/22/14,11/30/14
