obs,date,name
1,1/2/12,New Year Day
2,1/16/12,Martin Luther King Jr. Day
3,2/20/12,Presidents Day (Washingtons Birthday)
4,5/28/12,Memorial Day
5,7/4/12,Independence Day
6,9/3/12,Labor Day
7,10/8/12,Columbus Day
8,11/12/12,Veterans Day
9,11/22/12,Thanksgiving Day
10,12/25/12,Christmas Day
11,1/1/13,New Year Day
12,1/21/13,Martin Luther King Jr. Day
13,2/18/13,Presidents Day (Washingtons Birthday)
14,5/27/13,Memorial Day
15,7/4/13,Independence Day
16,9/2/13,Labor Day
17,10/14/13,Columbus Day
18,11/11/13,Veterans Day
19,11/28/13,Thanksgiving Day
20,12/25/13,Christmas Day
21,1/1/14,New Year Day
22,1/20/14,Martin Luther King Jr. Day
23,2/17/14,Presidents Day (Washingtons Birthday)
24,5/26/14,Memorial Day
25,7/4/14,Independence Day
26,9/1/14,Labor Day
27,10/13/14,Columbus Day
28,11/11/14,Veterans Day
29,11/27/14,Thanksgiving Day
30,12/25/14,Christmas Day
31,1/1/15,New Year Day
32,1/19/15,Martin Luther King Jr. Day
33,2/16/15,Presidents Day (Washingtons Birthday)
34,5/25/15,Memorial Day
35,7/3/15,Independence Day
36,9/7/15,Labor Day
37,10/12/15,Columbus Day
38,11/11/15,Veterans Day
39,11/26/15,Thanksgiving Day
40,12/25/15,Christmas Day
41,1/1/16,New Year Day
42,1/18/16,Martin Luther King Jr. Day
43,2/15/16,Presidents Day (Washingtons Birthday)
44,5/30/16,Memorial Day
45,7/4/16,Independence Day
46,9/5/16,Labor Day
47,10/10/16,Columbus Day
48,11/11/16,Veterans Day
49,11/24/16,Thanksgiving Day
50,12/25/16,Christmas Day
51,1/2/17,New Year Day
52,1/16/17,Martin Luther King Jr. Day
53,2/20/17,Presidents Day (Washingtons Birthday)
54,5/29/17,Memorial Day
55,7/4/17,Independence Day
56,9/4/17,Labor Day
57,10/9/17,Columbus Day
58,11/10/17,Veterans Day
59,11/23/17,Thanksgiving Day
60,12/25/17,Christmas Day
61,1/1/18,New Year Day
62,1/15/18,Martin Luther King Jr. Day
63,2/19/18,Presidents Day (Washingtons Birthday)
64,5/28/18,Memorial Day
65,7/4/18,Independence Day
66,9/3/18,Labor Day
67,10/8/18,Columbus Day
68,11/12/18,Veterans Day
69,11/22/18,Thanksgiving Day
70,12/25/18,Christmas Day
71,1/1/19,New Year Day
72,1/21/19,Martin Luther King Jr. Day
73,2/18/19,Presidents Day (Washingtons Birthday)
74,5/27/19,Memorial Day
75,7/4/19,Independence Day
76,9/2/19,Labor Day
77,10/14/19,Columbus Day
78,11/11/19,Veterans Day
79,11/28/19,Thanksgiving Day
80,12/25/19,Christmas Day
81,1/1/20,New Year Day
82,1/20/20,Martin Luther King Jr. Day
83,2/17/20,Presidents Day (Washingtons Birthday)
84,5/25/20,Memorial Day
85,7/3/20,Independence Day
86,9/7/20,Labor Day
87,10/12/20,Columbus Day
88,11/11/20,Veterans Day
89,11/26/20,Thanksgiving Day
90,12/25/20,Christmas Day
91,1/1/21,New Year Day
92,1/18/21,Martin Luther King Jr. Day
93,2/15/21,Presidents Day (Washingtons Birthday)
94,5/31/21,Memorial Day
95,7/5/21,Independence Day
96,9/6/21,Labor Day
97,10/11/21,Columbus Day
98,11/11/21,Veterans Day
99,11/25/21,Thanksgiving Day
100,12/24/21,Christmas Day
